Security,SPX Index,
Start Date,12/30/27 0:00,
End Date,4/4/24 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
2023-01-13,3999.09,573948029
2023-01-12,3983.17,632425453
2023-01-11,3969.61,640790420
2023-01-10,3919.25,551554241
2023-01-09,3892.09,668427994
2023-01-06,3895.08,662209787
2023-01-05,3808.1,632401697
2023-01-04,3852.97,721505963
2023-01-03,3824.14,661196995
2022-12-30,3839.5,511646744
2022-12-29,3849.28,466689122
2022-12-28,3783.22,438066309
2022-12-27,3829.25,449987371
2022-12-23,3844.82,407580902
2022-12-22,3822.39,619178091
2022-12-21,3878.44,578914467
2022-12-20,3821.62,605329585
2022-12-19,3817.66,666048676
2022-12-16,3852.36,2480939005
2022-12-15,3895.75,794832028
2022-12-14,3995.32,750666785
2022-12-13,4019.65,899986278
2022-12-12,3990.56,618637066
2022-12-09,3934.38,581894582
2022-12-08,3963.51,582572156
2022-12-07,3933.92,630212851
2022-12-06,3941.26,645745573
2022-12-05,3998.84,589437350
2022-12-02,4071.7,549183011
2022-12-01,4076.57,634096215
2022-11-30,4080.11,1406250061
2022-11-29,3957.63,517449991
2022-11-28,3963.94,602117953
2022-11-25,4026.12,234910107
2022-11-23,4027.26,435535386
2022-11-22,4003.58,541739025
2022-11-21,3949.94,554670309
2022-11-18,3965.34,658595061
2022-11-17,3946.56,560693716
2022-11-16,3958.79,627011652
2022-11-15,3991.73,714032354
2022-11-14,3957.25,673077472
2022-11-11,3992.93,760721714
2022-11-10,3956.37,927953225
2022-11-09,3748.57,667333976
2022-11-08,3828.11,646743771
2022-11-07,3806.8,650238172
2022-11-04,3770.55,761563917
2022-11-03,3719.89,716136387
2022-11-02,3759.69,818922185
2022-11-01,3856.1,656134881
2022-10-31,3871.98,846805519
2022-10-28,3901.06,743160632
2022-10-27,3807.3,831854609
2022-10-26,3830.6,760715393
2022-10-25,3859.11,705721791
2022-10-24,3797.34,677220105
2022-10-21,3752.75,902210712
2022-10-20,3665.78,676528338
2022-10-19,3695.16,622566954
2022-10-18,3719.98,678666508
2022-10-17,3677.95,718643423
2022-10-14,3583.07,736480578
2022-10-13,3669.91,840635099
2022-10-12,3577.03,645865085
2022-10-11,3588.84,726546333
2022-10-10,3612.39,604053203
2022-10-07,3639.66,758416449
2022-10-06,3744.52,648035050
2022-10-05,3783.28,640842252
2022-10-04,3790.93,745745604
2022-10-03,3678.43,766197451
2022-09-30,3585.62,983136358
2022-09-29,3640.47,697035050
2022-09-28,3719.04,732847345
2022-09-27,3647.29,679015206
2022-09-26,3655.04,704873378
2022-09-23,3693.23,730013187
2022-09-22,3757.99,638070812
2022-09-21,3789.93,651302741
2022-09-20,3855.93,606929201
2022-09-19,3899.89,609422581
2022-09-16,3873.33,2094243147
2022-09-15,3901.35,687378056
2022-09-14,3946.01,691169482
2022-09-13,3932.69,773233070
2022-09-12,4110.41,578184458
2022-09-09,4067.36,575854427
2022-09-08,4006.18,623635825
2022-09-07,3979.87,618640703
2022-09-06,3908.19,647281913
2022-09-02,3924.26,580546167
2022-09-01,3966.85,638301086
2022-08-31,3955,861114671
2022-08-30,3986.16,554484400
2022-08-29,4030.61,504890270
2022-08-26,4057.66,632873060
2022-08-25,4199.12,495806120
2022-08-24,4140.77,465969529
2022-08-23,4128.73,454368791
2022-08-22,4137.99,536127321
2022-08-19,4228.48,646495291
